X(mean),Y(mean),Z(mean),Daughter 1,Lineage
41.61546877,112.1490117,106.9312593,0,TE
61.02333855,118.2782491,181.3125241,1,TE
64.37344687,187.1203549,136.2460672,2,TE
56.74929461,129.7091825,73.96166061,3,TE
75.67822191,60.66511152,151.9274661,4,TE
78.71404056,175.0604703,176.1497523,5,TE
78.12206039,59.76607803,99.59689441,6,TE
75.12032185,161.1470096,67.71978417,7,TE
91.02137232,195.8371988,92.92618114,8,TE
104.773152,123.5768735,200.3183831,9,TE
88.99951742,83.107937,185.8333384,10,TE
115.1731751,195.9603187,156.8499618,11,TE
123.4294713,176.7420975,176.8121591,12,TE
134.4931903,138.3944718,192.5045081,13,TE
115.3428341,118.0209704,44.19598772,14,TE
141.3757125,114.5773726,189.9308611,15,TE
127.125344,197.8241296,100.6617341,16,TE
146.8752162,167.2692553,173.0485177,17,TE
131.3616542,182.7513578,69.09704041,18,TE
133.9448609,83.78420092,63.03393073,19,TE
164.299246,102.2826838,175.0472791,20,TE
151.2550874,72.62857804,83.24509877,21,TE
157.2670744,189.599516,137.8303944,22,TE
172.3073573,82.99921042,152.4194083,23,TE
154.5782068,178.6263474,116.3418687,24,ICM
147.8742171,142.7697781,56.10964462,25,TE
176.1110896,109.2759352,116.3068428,26,ICM
171.623049,160.9735726,156.1111703,27,TE
177.1427831,130.5621967,168.2258911,28,TE
162.6246095,100.2223926,95.13745192,29,ICM
173.8392871,148.0842484,135.4456589,30,ICM
162.8315409,169.562471,80.72936045,31,TE
175.6710747,140.8394201,85.00066928,32,TE
149.9675127,136.3321535,178.617413,33,TE
161.178898,104.6597105,126.2947936,34,ICM
147.7990149,108.1810322,161.7772862,35,ICM
125.9417957,49.95519486,147.7075586,36,TE
112.3591531,149.0923348,195.5225137,37,TE
125.1219985,76.92984459,176.4103665,38,TE
192.8096527,126.5431132,129.2491456,39,TE
146.9894274,171.0904681,146.0043721,40,ICM
147.3824503,74.98790693,167.6556186,41,TE
155.73951,117.0993912,64.30696834,42,TE
165.8110629,79.98575488,108.0866347,43,ICM
159.056889,133.2781573,125.6308456,44,ICM
175.4905077,84.48222651,111.1068841,45,TE
156.1028043,69.15170274,138.878971,46,ICM
161.2415076,126.9616452,159.9382145,47,ICM
175.1203482,127.6739366,134.7478228,48,ICM
39.73952878,117.7416091,150.3265978,49,TE
181.7310725,150.0694528,114.6543126,50,ICM
167.502775,158.7407583,103.5534165,51,ICM
123.0560344,96.64752985,190.7119811,52,TE
128.3255787,53.88872344,96.08395079,53,TE
152.5368323,146.0138503,152.5164625,54,ICM
175.1257562,106.0781202,77.51212787,55,TE
141.0689791,199.9620357,121.3591299,56,TE
162.7228313,113.6685237,141.2950103,57,ICM
94.88321983,80.46196587,63.21951582,58,TE
163.3237587,164.188833,129.0004579,59,ICM
177.229578,105.9037328,153.1773369,60,ICM
167.1106438,88.79263362,142.409782,61,ICM
174.5878434,117.9039341,100.0916717,62,ICM
147.4051996,55.83877298,116.433301,63,TE
