Source Tissue Type,Target Destination Type,Source Order,Destination Order,Euclidean Distance,Distance Index
TE,TE,0,0,0,1
TE,TE,0,1,77.11553354,0.51710268
TE,TE,0,2,83.65396482,0.476159036
TE,TE,0,3,40.30368123,0.747618427
TE,TE,0,4,76.39058683,0.521642295
TE,TE,0,5,100.6248251,0.369887543
TE,TE,0,6,64.26893402,0.597548061
TE,TE,0,7,71.14013466,0.554520616
TE,TE,0,8,98.18756632,0.385149652
TE,TE,0,9,113.3165648,0.290411893
TE,TE,0,10,96.50994857,0.395654891
TE,TE,0,11,122.1758904,0.234934814
TE,TE,0,12,125.4955692,0.214146991
TE,TE,0,13,128.9878918,0.192278074
TE,TE,0,14,96.98411518,0.392685661
TE,TE,0,15,129.7957513,0.18721926
TE,TE,0,16,121.2083806,0.240993358
TE,TE,0,17,135.9755402,0.148521434
TE,TE,0,18,120.2933797,0.246723092
TE,TE,0,19,106.0954975,0.335630202
TE,TE,0,20,140.6714107,0.119115902
TE,TE,0,21,118.9274773,0.25527637
TE,TE,0,22,142.5785084,0.10717366
TE,TE,0,23,141.4187128,0.114436297
TE,ICM,0,24,131.4091927,0.177115893
TE,TE,0,25,121.702052,0.237901989
TE,ICM,0,26,134.8526164,0.15555318
TE,TE,0,27,147.3243779,0.077455035
TE,TE,0,28,149.8790519,0.061457671
TE,ICM,0,29,122.1660766,0.234996268
TE,ICM,0,30,139.9555299,0.123598746
TE,TE,0,31,136.6608245,0.144230185
TE,TE,0,32,138.8344186,0.130619143
TE,TE,0,33,132.1510288,0.172470517
TE,ICM,0,34,121.3525842,0.240090355
TE,ICM,0,35,119.5774937,0.251205969
TE,TE,0,36,112.4353452,0.295930089
TE,TE,0,37,119.2387871,0.253326949
TE,TE,0,38,114.1975331,0.284895271
TE,TE,0,39,153.5088254,0.038728037
TE,ICM,0,40,126.9034065,0.205331117
TE,TE,0,41,127.4952936,0.201624721
TE,TE,0,42,121.9247031,0.236507748
TE,ICM,0,43,128.2979173,0.196598693
